MapNo	Lon	Lat	DeltaR	DeltaRErr	Reference	Locality
77	11.43	58.25	-197	50	Håkansson S:1970	Near Kristingeberg, island of Skaftoland
78	12	58	-94	80	Olsson, I U,:1969	Bohuslan, Sweden U-607
79	11.52	58.02	-174	46	Håkansson S:1969	Haron, Bohuslan, Sweden
80	11.62	57.78	-194	46	Håkansson S:1969	Roro, N archipelago of Goteborg, Sweden
81	11.62	57.78	-234	57	Håkansson S:1969	Roro, N archipelago of Goteborg, Sweden
82	9.88	57.73	-151	38	Mangerud, J :1975	Skagerak, Norway
83	9.75	55.52	-304	99	Olsson, I U,:1980	Middlefart Sund, Denmark
84	10.53	57.5	-86	58	Heier-Nielse:1995	W of Uirsholmene, Kattegat (15 m)
85	10.6	57.48	-168	70	Heier-Nielse:1995	NE of Hirsholmene, Kattegat (19 m)
86	10.6	57.33	-196	74	Heier-Nielse:1995	Kattegat off Saeby
87	10.73	57.17	-185	58	Heier-Nielse:1995	Les� Rende Fyrskib, Kattegat (18 m)
88	11.58	56.75	28	60	Heier-Nielse:1995	SE of Anholt Fyi, Kattegat (40 m)
89	11.22	56.05	-93	58	Heier-Nielse:1995	N of Sj. Odde, Gronne Revic Kattegat (19
90	12.55	56.07	-170	59	Heier-Nielse:1995	�resund off HelIebaek
91	12.63	55.95	-138	54	Heier-Nielse:1995	Vedbaek �resund (15-18 m)
92	10.88	55.47	-262	56	Heier-Nielse:1995	Storebaelt
93	9.72	55.28	-213	58	Heier-Nielse:1995	Brands� Bredning, Lillebaelt
118	15.83	56.07	-273	40	Håkansson, :1987	Langoren I,.Torhamn archipelago, SE Bele
119	14.58	56.07	-192	80	Olsson, I U,:1980	Valvjeviken and Solveborgsviken, Bleking
120	14.58	56.07	-287	56	Olsson, I U,:1980	Valvjeviken and Solveborgsviken, Bleking
121	16	56	-251	120	Olsson, I U,:1980	SW coast of Skane (Scania), southern Bal
122	15	56	-273	64	Olsson, I U,:1980	Karlshamn, Ronneby and Tjurko, Blekinge,
123	15.83	56.07	-253	56	Olsson, I U,:1980	Torhammsfjarden, Langora, Blekinge, sout
124	-8.73	40.68	153	90	Monges Soare:1993	Aveiro
125	-8.73	40.68	-24	90	Monges Soare:1993	Aveiro
126	-8.73	40.68	186	45	Monges Soare:1993	Aveiro
127	-8.73	40.68	126	40	Monges Soare:1993	Aveiro
128	-8.73	40.68	206	35	Monges Soare:1993	Aveiro
129	-9.12	39.55	77	60	Monges Soare:1993	S. Martinho do Porto
130	-8.78	38.32	34	90	Monges Soare:1993	Costa da Gale
131	-8.8	38.42	-64	50	Monges Soare:1993	Settibal
132	-8.73	41.25	-168	90	Monges Soare:1993	Leca da Palmeira
133	-8.67	37.08	196	90	Monges Soare:1993	Portimao
134	-8.05	37.02	76	70	Monges Soare:1993	Ria de Faro
135	-8.05	37.02	103	60	Monges Soare:1993	Ria de Faro
136	-8	37	-126	70	Monges Soare:1993	Cabo de S. Maria
137	-7.78	37.02	6	50	Monges Soare:1993	Ria de Olhao
138	-7.78	37.02	156	70	Monges Soare:1993	Ria de Olhao
139	-7.78	37.02	-34	90	Monges Soare:1993	Ria de Olhao
140	-7.72	37	167	80	Monges Soare:1993	Ilha da Culatra
141	-8.5	37	75	40	Monges Soare:1993	Algarve
142	-8.5	37	95	40	Monges Soare:1993	Algarve
143	-8.5	37	235	70	Monges Soare:1993	Algarve
144	-8.5	37	155	45	Monges Soare:1993	Algarve
145	-7.72	37	267	45	Monges Soare:1993	Ilha da Culatra
146	-7.45	37.18	-144	70	Monges Soare:1993	V.R.S. Antonio
147	-162	55.5	97	50	Robinson, S :1981	Pavlov Harbor, Alaska, USA
148	-123	48.6	199	50	Robinson, S :1981	Orcas Island, Washington, USA
149	-124	48.4	245	50	Robinson, S :1981	Sooke, British Columbia, Canada
150	-123.43	48.43	146	50	Robinson, S :1981	Esquimalt, British Columbia, Canada
151	-123	48.6	344	30	Robinson, S :1981	Orcas Island, Washington, USA
153	-124	44.6	235	35	Robinson, S :1981	Yaquina Bay, Oregon, USA
154	-124	44.6	230	50	Robinson, S :1981	Yaquina Bay, Oregon, USA
155	-124	43.3	292	50	Robinson, S :1981	Sunset Bay, Oregon, US
156	-1.42	44.4	-131	40	Broecker, W :1961	Bay of Arcachon, France
157	-73.08	40.95	-196	75	Broecker, W :1961	Port Jefferson area, Long Island Sound,
158	-72.5	41.5	55	81	Tanaka, N, M:1990	Stonington, Connecticut
159	-73	41	-258	121	Tanaka, N, M:1990	Eastern Long Island Sound
160	-72.83	41.42	-170	146	Tanaka, N, M:1990	Brandfordt, Connecticut
161	-72.92	41.5	61	73	Tanaka, N, M:1990	New Haven, Connecticut
162	-73	41.42	234	89	Tanaka, N, M:1990	West Haven, Connecticut
163	-73.08	41	232	97	Tanaka, N, M:1990	Western Long Island Sound
164	-70	44	-127	56	Tanaka, N, M:1990	Gulf of Maine
165	-70	44	-117	56	Tanaka, N, M:1990	Quahog Bay, Maine
166	-123	37.9	74	25	Robinson, S :1981	Bolinas Bay, California, USA
167	-122.45	37.47	139	35	Robinson, S :1981	Half Moon Bay, California
168	-122	36.6	134	35	Robinson, S :1981	Monterey, California, USA
169	-121	35.4	147	35	Robinson, S :1981	Morro Bay, California, USA
170	-122.7	37.9	147	50	Ingram, B L :1996	Stinson Beach, Mann Co., California
171	-122.7	37.9	187	50	Ingram, B L :1996	Stinson Beach, Mann Co., California
172	-121.9	36.7	117	50	Ingram, B L :1996	Point Pinos, Pacific Grove, California
173	-121.9	36.6	87	50	Ingram, B L :1996	Carmel Bay, Monterey, California
174	-121.8	36.8	266	50	Ingram, B L :1996	Elkhorn Slough, Monterey Bay, California
175	-122	37	-68	55	Berger, R, T:1966	Monterey, California, USA
177	-117	32.7	129	35	Robinson, S :1981	San Diego, California, USA
178	-118.2791	33.7049	111	55	Ingram, B L :1996	San Pedro, Los Angeles, California
179	-117.9	33.6	66	50	Ingram, B L :1996	Newport Bay, Orange Co., California
180	-117.2596	32.7936	37	40	Ingram, B L :1996	Mission Bay, San Diego, California
181	-117.2	32.8	77	45	Ingram, B L :1996	Mission Bay, San Diego, California
182	-117.9	33.6	257	50	Ingram, B L :1996	Newport Bay, Orange Co., California
183	-117.2713	32.9511	-43	40	Ingram, B L :1996	Del Mar, San Diego, California
187	-117.2614	32.8603	102	80	Bien, G S, R:1960	La Jolla Shores, California
188	-119	34	-51	48	Berger, R, T:1966	Seal Beach, California, USA
189	-119.7	34.3774	197	30	Ingram, B L :1996	Santa Barbara, California
190	-119.7	34.3774	127	60	Ingram, B L :1996	Santa Barbara, California
191	-119.7	34.0322	7	40	Ingram, B L :1996	Pelican Bay, Santa Cruz Is., California
192	-122.5	38	102	60	Ingram, B L :1996	Pt. Richmond, San Pablo Bay, California
193	-122.2	37.7	347	100	Ingram, B L :1996	San Francisco Bay, California
194	-122.2	37.7	107	60	Ingram, B L :1996	San Francisco Bay, California
195	-122.2	37.7	197	70	Ingram, B L :1996	San Francisco Bay, California
196	-122.2	37.7	126	50	Ingram, B L :1996	San Francisco Bay, California
197	-122.5	38	307	50	Ingram, B L :1996	Pt. Richmond, San Pablo Bay, California
198	-122.5	38	-126	80	Ingram, B L :1996	Pt. Richmond, San Pablo Bay, California
199	-122.2	37.7	397	70	Ingram, B L :1996	San Francisco Bay, California
201	3	36.75	-12	35	Siani, G, Pa:2000	Alger. Algeria
203	1.92	36.53	-150	35	Siani, G, Pa:2000	Cherchel, Algeria
204	2.5	36.58	-103	50	Siani, G, Pa:2000	Mahdia. Algeria
205	7	43.55	-188	40	Siani, G, Pa:2000	Antibes, France
206	6.67	43.5	-167	35	Siani, G, Pa:2000	St Raphael, France
207	5.92	43.17	-152	40	Siani, G, Pa:2000	La Seyne, France
208	3.5	43.33	-128	35	Siani, G, Pa:2000	Marseille, France
209	3.5	43.33	-87	40	Siani, G, Pa:2000	Marseille, France
210	3	42.5	-39	35	Siani, G, Pa:2000	Banyuls, Spain
215	5.98	43.17	-255	35	Siani, G, Pa:2000	Toulon, France
216	3	42.5	-48	55	Siani, G, Pa:2000	Banyuls, Spain
217	-4.42	36.75	-174	35	Siani, G, Pa:2000	Malaga, Spain
218	2.92	36.8	16	40	Reimer, P J :2002	Castiglione, Algeria
219	2.92	36.8	-94	40	Reimer, P J :2002	Castiglione, Algeria
220	12	42	-174	60	M. Taviani a:?	Central Tyrrhenian Sea
221	12	42	-124	60	M. Taviani a:?	Central Tyrrhenian Sea
222	8.67	42.67	-109	40	Siani, G, Pa:2000	Bastia, Corsica
223	14.08	40.92	-103	40	Siani, G, Pa:2000	Naples, Italy
224	14.08	40.92	-12	110	Siani, G, Pa:2000	Naples, Italy
225	14	38	-88	50	Siani, G, Pa:2000	Sicily
230	20.75	37.75	17	40	Reimer, P J :2002	Zante, Greece
231	35.5	33.87	-114	40	Reimer, P J :2002	Beirut, Lebanon
232	35.5	33.87	-204	50	Reimer, P J :2002	Beirut, Lebanon
233	34.83	32.17	-93	40	Reimer, P J :2002	Netamiya, Israel
234	18.33	40.83	-39	60	M. Taviani a:?	South Adriatic, Barletta, Italy
235	12.57	44.07	-20	28	LANGONE Leon:1996	North Adriatic,Rimini, Italy
236	15.5	43.83	-258	35	Siani, G, Pa:2000	Dalmatia
237	13.5	45	-214	50	Siani, G, Pa:2000	Rovigne, Croatia
238	17	42.5	-102	30	Siani, G, Pa:2000	Adriatic Sea
241	22.8	37.57	-103	40	Reimer, P J :2002	Nauplia, Greece
242	22.63	37.95	7	40	Reimer, P J :2002	Piraeus, Greece
243	28.58	40.5	-63	40	Siani, G, Pa:2000	Istanbul, Turkey, Marmara Sea
244	28.58	41.5	-68	40	Siani, G, Pa:2000	Istanbul, Turkey, Marmara Sea
245	26	40.5	-8	40	Siani, G, Pa:2000	Dardanelli Strait
246	28	42.17	-180	40	Siani, G, Pa:2000	Black Sea
247	28.5	44.5	-42	40	Siani, G, Pa:2000	Black Sea
248	33.5	44.67	-144	35	Jones G A an:1994	Crimea
249	50	45	-159	50	Olsson, I U,:1980	Kulalai, Caspian Sea
250	35	27	-86	40	Siani, G, Pa:2000	Red Sea
251	34	27	-12	64	Cember, R P,:1989	Hurghada, Egypt
252	34	27	20	64	Cember, R P,:1989	Hurghada, Egypt
253	43	12	9	64	Cember, R P,:1989	Djibouti,Gulf of Aden
254	37.22	19.62	-31	54	Cember, R P,:1989	Port Sudan, Sudan
255	38	20	-59	38	Southon, J, :2002	Red Sea
256	51.4	25.3	46	53	Southon, J, :2002	Dohar (Qatar)
257	34.31	27.85	84	25	Felis, T, Lo:2004	Ras Umm Sidd
258	34.31	27.85	-16	25	Felis, T, Lo:2004	Ras Umm Sidd
259	34.31	27.85	-2	30	Felis, T, Lo:2004	Ras Umm Sidd
260	34.31	27.85	-23	30	Felis, T, Lo:2004	Ras Umm Sidd
261	34.97	29.46	58	35	Felis, T, Lo:2004	Aquaba
262	34.97	29.46	-38	30	Felis, T, Lo:2004	Aquaba
263	-110	24	99	18	Frantz, B R,:2000	La Paz, Baja Sur California
264	-111.9671	28.7869	389	53	Berger, R, T:1966	Kino Bay, Sonora, Mexico
265	-111	26	394	54	Berger, R, T:1966	Carmen Is., Gulf of California, Mexico
266	-111	26	307	60	Ingram, B L :1996	Carmen Is., Gulf of California, Mexico
267	-110.8356	27.8196	301	50	Goodfriend, :1997	Guaymas
268	-111	28	206	50	Goodfriend, :1997	Guaymas
269	-113.5	29	382	50	Goodfriend, :1997	Bahia de los Angeles
270	-113.5	29	291	40	Goodfriend, :1997	Bahia de los Angeles
271	-111	28	307	50	Goodfriend, :1997	Pajaro Island
272	-112	26.67	192	55	Goodfriend, :1997	Santa Inez Bay
273	-111	28	257	50	Ingram, B L :1996	Miramar Beach, Guaymas
274	-111	28	76	50	Goodfriend, :1997	Guaymas
275	-111	28	-12	50	Goodfriend, :1997	Guaymas
276	-115	31.67	451	50	Goodfriend, :1997	Mouth of Colorado River
277	-114.5	29.83	451	55	Goodfriend, :1997	Bahia S.L. Gonzago
278	-115	31.08	486	55	Goodfriend, :1997	San Felipe
279	-113.67	31.3	401	70	Goodfriend, :1997	Puerto Penasco
280	-113.67	31.3	271	50	Goodfriend, :1997	Puerto Penasco
281	-113.67	31.3	507	85	Goodfriend, :1997	Puerto Penasco
282	-113.58	31.5	247	65	Flessa, KW, :1993	Cholla Bay
285	-115	28	11	51	Berger, R, T:1966	Cedro Is., Baja California, Mexico
286	-112	25	57	53	Berger, R, T:1966	Magdaleno Bay, Baja California, Mexico
287	-110	23	180	45	Berger, R, T:1966	Cape San Lucas, Baja California, Mexico
288	-106	23	59	48	Berger, R, T:1966	Mazatlan, Sinaloa, Mexico
289	-106	22	85	50	Berger, R, T:1966	Isabel Island, Nayarit, Mexico
290	-105	21	3	50	Berger, R, T:1966	Banderas Bay, Jalisco, Mexico
291	-104	19	71	50	Berger, R, T:1966	Manzanillo, Colima, Mexico
292	-96	16	18	50	Berger, R, T:1966	Guatulco Bay, Oaxaca,
293	-78	26	-175	42	Broecker, W :1961	Bahama Islands
294	-78	26	-104	59	Broecker, W :1961	Bahama Islands
296	-83	24	-45	51	Lighty, R.G.:1982	Tortugas, Florida
297	-77.62	24.23	-12	66	Lighty, R.G.:1982	Golding Cay, Bahamas
299	-78	18	-181	42	Broecker, W :1961	Jamaica, B.W.I.
300	-78	18	-204	41	Broecker, W :1961	Jamaica, B.W.I.
301	-65	10.67	-114	60	Hughen, K A,:2004	Cariaco Basin, Venezuela
302	-65	10.67	-147	50	Hughen, K A,:2004	Cariaco Basin, Venezuela
307	-43	-23	-199	42	Eastoe, CJ, :2002	Fazenda Jap.
311	-45.34	-23.73	-153	40	Nadal De Mas:1999	Ponta das Canas
312	-45.34	-23.73	-93	40	Nadal De Mas:1999	Ponta das Canas
313	-45.34	-23.73	-153	40	Nadal De Mas:1999	Ponta das Canas
314	-45.34	-23.73	-213	40	Nadal De Mas:1999	Ponta das Canas
315	-48.45	-27.4333	-103	40	Nadal De Mas:1999	Canasvieras
317	-48.47	-27.42	-23	40	Angulo, R. J:2005	Ilha do Fran�es, Santa Catarina
318	-48.48	-27.68	-53	40	Angulo, R. J:2005	Campeche, Santa Catarina
319	-48.47	-27.68	-103	40	Angulo, R. J:2005	Ilha do Fran�es, Santa Catarina
320	-48.28	-25.5	-193	40	Angulo, R. J:2005	Ilha do Mel, Paran�
321	-48.28	-25.5	-143	40	Angulo, R. J:2005	Ilha do Mel, Paran�
322	-48.3	-25.52	-114	40	Angulo, R. J:2005	Mar de Dentro,Ilha do Mel, Paran�
323	-158	21.3	-29	51	Broecker, W :1961	Oahu, Hawaii
325	-158	21.3	357	70	Dye, T, 1994:1994	Waimanalo, Oahu
327	-157.95	21.35	-174	60	Dye, T, 1994:1994	Pearl Harbor, Oahu
328	-157.72	21.4	-93	60	Dye, T, 1994:1994	Kaneohe Bay, Oahu
329	-157.72	21.4	76	40	Dye, T, 1994:1994	Waikane, Oahu
330	-160	22	-200	60	Dye, T, 1994:1994	Pukoo, MolokaI Island
331	-155.61	18.97	136	100	Dye, T, 1994:1994	Kaulana, HawaiI
332	-155.61	18.97	126	80	Dye, T, 1994:1994	Kaulana, Hawaii
333	-154.79	19.4	6	80	Dye, T, 1994:1994	Keaau, Hawaii
335	-158	21.3	664	80	Dye, T, 1994:1994	Barbers Point, Oahu
336	-158	21.3	374	80	Dye, T, 1994:1994	Barbers Point, Oahu
337	-158	21.65	626	80	Dye, T, 1994:1994	Kualakai, Oahu
342	124.33	24.55	-152	40	Hideshima, S:2001	Ishigaki Island, Japan
343	124.33	24.55	-217	40	Hideshima, S:2001	Ishigaki Island, Japan
344	124.33	24.55	-134	40	Hideshima, S:2001	Ishigaki Island, Japan
345	124.33	24.55	-38	45	Hideshima, S:2001	Ishigaki Island, Japan
346	124.33	24.55	42	45	Hideshima, S:2001	Ishigaki Island, Japan
347	-85	10	91	37	Taylor, R E :1967	Port Parker, Costa Rica
348	-82	8	-201	51	Taylor, R E :1967	Secas Island, Panama
349	-82	8	-97	49	Taylor, R E :1967	Secas Island, Panama
350	-90.9	14	76	50	Ingram, B L :1996	San Jose de Guate, Guatemala
351	-87.6	13.2	27	50	Ingram, B L :1996	Gulf of Fonseca, Honduras
352	-87.2	12.5	137	50	Ingram, B L :1996	Corinto, Nicaragua
353	-109.33	-27.17	-248	18	Beck, J W, H:2003	Easter Island
354	-91	0	-66	83	Taylor, R E :1967	Santiago Is., Galapagos
355	-91	0	141	82	Taylor, R E :1967	Santiago Is., Galapagos
356	-90	0	-136	43	Taylor, R E :1967	Espanola Is., Galapagos
357	-90	0	-161	40	Taylor, R E :1967	Santa Cruz Is., Galapagos
358	-80	-3	-369	37	Taylor, R E :1967	Guayaquil, Ecuador
359	-80	-3	-68	45	Taylor, R E :1967	Guayaquil, Ecuador
361	-81.75	7.8	-106	16	Druffel, E.,:1995	Uva Island, Gulf of Chiriqui, Panama
363	-80	-10	96	49	Taylor, R E :1967	Northern Peru
364	-70	-24	22	34	Taylor, R E :1967	Antofagasta, Chile
365	-72	-33	166	76	Taylor, R E :1967	Valparaiso, Chile
366	-71.8	-33.1	-83	50	Ingram, B L :1996	Valparaiso, Chile
367	-78	-14	523	44	Taylor, R E :1967	Peru
368	-72.65	-51.7	77	40	Ingram, B L :1996	Puerto Natales, Chile
381	115.67	-32.25	-130	85	Gillespie, R:1979	Garden Island, W. Australia
383	116.5	-35	-42	88	Bowman, G M :1985	Nornalup, WA. Australia
384	116.5	-35	-11	117	Bowman, G M :1985	Nornalup, WA. Australia
385	116.5	-35	-85	86	Bowman, G M :1985	Nornalup, WA. Australia
392	122.23	-17.97	-43	78	Bowman, G M :1985	Broome, WA
393	122.23	-17.97	-137	78	Bowman, G M :1985	Broome, WA
394	122.23	-17.97	-141	109	Bowman, G M :1985	Broome, WA
395	125.25	-15	42	78	Bowman, G M :1985	Port George, WA
396	122.23	-17.97	-145	119	Bowman, G M :1985	Broome, WA
397	122.23	-17.97	-194	119	Bowman, G M :1985	Broome, WA
398	122.23	-17.97	-40	78	Bowman, G M :1985	Broome, WA
399	106.5	-7	-117	70	Southon, J, :2002	Pelabuhanratu, Java
400	132.4	-11.3	-109	40	Southon, J, :2002	Raffles Bay, N.Australia
403	120.5	12.5	-68	70	Southon, J, :2002	Mindoro Strait, Phillipines
404	120	12	-195	70	Southon, J, :2002	Mona Is., Philippines
405	120.9	13.8	-215	50	Southon, J, :2002	Janao Bay, Luzon, Phillipines
406	112.3	16.7	-149	40	Southon, J, :2002	Xisha (Paracels) Is.
407	112.3	16.7	-164	50	Southon, J, :2002	Xisha (Paracels) Is.
408	112.3	16.7	-63	60	Southon, J, :2002	Xisha (Paracels) Is.
409	99.7	9.6	-174	70	Southon, J, :2002	Ko Ang Trang, Thailand
410	106.8	10.8	-163	56	Southon, J, :2002	Ho Chi Minh City (Saigon)
411	103.9	1.3	-286	60	Southon, J, :2002	Singapore
412	103.8	2.9	-155	38	Southon, J, :2002	Singapore
414	106.55	8.66	-205	30	Dang, P. X.,:2004	Con Dao Island, Vietnam
415	119	39	-334	50	Southon, J, :2002	Bo Hai Gulf, China
416	120.3	36.1	-234	60	Southon, J, :2002	Tsingtao, China
417	126.33	36	-253	45	Kong,G S and:2005	South west coast, Korea
418	128.17	34.67	-296	35	Kong,G S and:2005	South east coast, Korea
421	111.5	-3	-64	70	Southon, J, :2002	SaBui Bay, S.Borneo
424	146.08	44.23	346	40	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
425	145.72	43.92	196	45	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
426	145.72	43.92	291	45	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
427	145.72	43.92	311	40	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
428	145.7	43.9	121	40	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
429	145.68	43.9	66	45	Kuzmin, Y.V.:2001	Kunashir Island, Kurile Islands (middens
440	159.5	-9.5	-140	27	Guilderson, :2004	Guadalcanal Island
460	183.5	-43.95	-54	40	Sikes, E L, :2000	Waitangi Beach, Chatham Islands
461	183.5	-43.95	-34	28	Sikes, E L, :2000	Waitangi Beach, Chatham Islands
478	56	-21	-44	40	Southon, J, :2002	Ile de France (Mauritius)
479	56	-21	-21	42	Southon, J, :2002	Mauritius
480	56	-21	-185	57	Southon, J, :2002	Mauritius
481	49.4	-12.8	9	60	Southon, J, :2002	Diego-Suarez (Madagascar)
482	47	-9.8	142	59	Southon, J, :2002	Seychelles
483	47	-9.8	-21	57	Southon, J, :2002	Seychelles
484	47	-9.8	-81	57	Southon, J, :2002	Seychelles
485	47	-9.8	-118	57	Southon, J, :2002	Seychelles
486	47	-9.8	-10	62	Southon, J, :2002	Mahe (Seychelles)
487	45.7	-13.2	-42	57	Southon, J, :2002	Mayotte (Comoros)
488	43.5	-12.2	108	51	Southon, J, :2002	Comoros
489	39.3	-6.6	-14	40	Southon, J, :2002	Zanzibar
490	97	-12	191	66	Toggweiler, :1991	Cocos (Keeling) Islands
501	97	-12	-63	25	Hua, Q., Woo:2004	Cocos (Keeling) Islands
502	18.6	-34.5	58	51	Southon, J, :2002	Cape of Good Hope
503	31.1	-30	74	57	Southon, J, :2002	Natal
504	39.87	-3.38	-98	5	Grumet, N S,:2002	Watamu Reef
505	169.65	-74.9	784	40	Stuiver, M, :1981	Inexpressible Island, Antarctica
506	169.65	-74.9	694	50	Stuiver, M, :1981	Inexpressible Island, Antarctica
507	166.23	-78.5	304	75	Whitehouse, :1988	Cape Royds
508	170.4	-71.5	513	90	Whitehouse, :1988	Cape Adare
509	169.65	-74.9	459	50	Mabin, M C G:1985	Inexpressible Island, Antarctica
510	169.65	-74.9	1154	55	Mabin, M C G:1985	Inexpressible Island, Antarctica
511	169.65	-74.9	454	45	Whitehouse, :1988	Inexpressible Island, Antarctica
515	169.65	-74.9	634	45	Whitehouse, :1988	Inexpressible Island, Antarctica
516	-45.63	-61.72	697	50	Peck, L S, a:1996	Signy Island, Antarctica
517	-45.63	-61.72	567	45	Peck, L S, a:1996	Signy Island, Antarctica
518	-45.63	-61.72	737	45	Peck, L S, a:1996	Signy Island, Antarctica
519	-90.58	-68.78	610	57	Berkman, P A:1996	120 m depth
520	-164.33	-78.5	674	62	Berkman, P A:1996	490 m depth
521	-67	-68.65	873	39	Berkman, P A:1996	25-30 m depth
522	-67.28	-67.87	813	40	Berkman, P A:1996	25-30 m depth
523	-56.98	-63.4	669	50	Bjorck, S, H:1991	Hope Bay
524	-3.15	55.97	-141	57	Harkness, D :1983	Northeast Atlantic
525	-5	52	-141	54	Harkness, D :1983	Northeast Atlantic
526	-4.5	53	-179	45	Harkness, D :1983	Northeast Atlantic
527	-5	54.17	-180	47	Harkness, D :1983	Northeast Atlantic
528	-5	54.17	-129	63	Harkness, D :1983	Northeast Atlantic
529	-6	55.83	-224	46	Harkness, D :1983	Northeast Atlantic
530	-6	55.83	-233	52	Harkness, D :1983	Northeast Atlantic
531	-5.33	57.83	-171	29	Harkness, D :1983	Northeast Atlantic
532	-5.33	57.83	-87	34	Harkness, D :1983	Northeast Atlantic
533	-1.63	59.55	-113	30	Harkness, D :1983	Northeast Atlantic
534	-1.63	59.55	-66	30	Harkness, D :1983	Northeast Atlantic
535	-4.93	55.87	-261	42	Harkness, D :1983	Northeast Atlantic
536	-4.93	55.87	-275	54	Harkness, D :1983	Northeast Atlantic
537	-4.93	55.87	-178	80	Harkness, D :1983	Northeast Atlantic
538	-4.88	55.73	-73	38	Harkness, D :1983	Northeast Atlantic
539	-4.88	55.73	-59	32	Harkness, D :1983	Northeast Atlantic
